词语,频次
现在,119
司机,101
生产力,85
没有,81
分配,78
问题,76
便宜,75
工作,69
发展,69
出租车,67
幻想,63
进步,50
可能,50
时间,49
技术,48
生产关系,47
一个,46
哈哈哈,43
科技,42
支持,41
社会,40
需要,39
网约车,38
失业,38
企业,36
ai,36
不会,36
应该,34
生产,33
利润,30
无人驾驶,30
AI,30
工人,29
垄断,29
无人,28
知道,28
已经,28
行业,27
确实,26
反对,26
市场,25
觉得,25
补贴,25
国家,24
打车,24
收入,24
消费,24
成本,24
机器,23
平台,23
真的,23
解决,23
科技进步,23
文明,23
其实,22
滴滴,22
人类,22
公司,21
萝卜,21
太对,20
取代,20
做梦,20
这种,20
涨价,20
饿死,20
中国,19
很多,19
前列,19
工资,19
提高,19
以前,19
以后,18
斗争,18
哈哈哈哈,18
一部分,18
不能,18
时代,18
外卖,18
前面,18
人民,18
过剩,18
落后,17
一针见血,17
一次,17
劳动,17
起来,17
价格,16
就业,16
生活,16
不够,16
一定,16
分配制度,16
不到,16
这是,16
美国,16
马克思,16
自动,16
公有制,16
难道,15
先进,15
